tff_id,team,player,tff_pos,tff_cost,2024-08-16T19:00:00Z,2024-08-17T11:30:00Z,2024-08-17T14:00:00Z,2024-08-17T16:30:00Z,2024-08-18T13:00:00Z,2024-08-18T15:30:00Z,2024-08-19T19:00:00Z,2024-08-24T11:30:00Z,2024-08-24T14:00:00Z,2024-08-24T16:30:00Z,2024-08-25T13:00:00Z,2024-08-25T15:30:00Z,2024-08-31T11:30:00Z,2024-08-31T14:00:00Z,2024-08-31T16:30:00Z,2024-09-01T12:30:00Z,2024-09-01T15:00:00Z,2024-09-14T11:30:00Z,2024-09-14T14:00:00Z,2024-09-14T16:30:00Z,2024-09-14T19:00:00Z,2024-09-15T13:00:00Z,2024-09-15T15:30:00Z,2024-09-21T11:30:00Z,2024-09-21T14:00:00Z,2024-09-21T16:30:00Z,2024-09-22T13:00:00Z,2024-09-22T15:30:00Z,2024-09-28T11:30:00Z,2024-09-28T14:00:00Z,2024-09-28T16:30:00Z,2024-09-29T13:00:00Z,2024-09-29T15:30:00Z,2024-09-30T19:00:00Z,total_pts,ppm
118342,BRE,Flekken,G,2.9,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,2.89,0.0,4.36,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,3.93,0.0,0.0,0.0,0.0,21.13,7.29
213198,CHE,Nkunku,F,5.6,0.0,0.0,0.0,0.0,0.0,3.06,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,3.78,0.0,0.0,0.0,0.0,3.3,0.0,0.0,3.61,0.0,0.0,0.0,0.0,0.0,3.62,0.0,0.0,0.0,0.0,21.13,3.77
433154,EVE,McNeil,M,3.4,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,3.39,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,21.13,6.21
460842,WHU,Kudus,M,4.4,0.0,0.0,0.0,4.06,0.0,0.0,0.0,0.0,3.57,0.0,0.0,0.0,0.0,0.0,3.05,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,3.69,0.0,0.0,0.0,0.0,0.0,3.28,0.0,0.0,0.0,0.0,21.12,4.8
122806,AVL,McGinn,M,3.7,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,3.54,0.0,0.0,0.0,0.0,3.87,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,20.93,5.66
208706,NEW,Bruno G.,M,3.9,0.0,0.0,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.0,0.0,0.0,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,3.47,0.0,3.25,0.0,0.0,0.0,2.83,0.0,0.0,0.0,0.0,0.0,20.79,5.33
184254,TOT,Vicario,G,3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.58,0.0,3.95,0.0,0.0,0.0,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.26,0.0,20.77,6.29
97032,LIV,Virgil,D,5.1,0.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,2.83,0.0,3.62,0.0,0.0,0.0,0.0,0.0,3.45,0.0,0.0,0.0,0.0,0.0,3.31,0.0,0.0,0.0,20.65,4.05
477424,MCI,Gvardiol,D,4.5,0.0,0.0,0.0,0.0,0.0,2.74,0.0,0.0,4.72,0.0,0.0,0.0,0.0,0.0,3.51,0.0,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96,2.72,0.0,0.0,0.0,0.0,0.0,20.61,4.58
121160,MCI,Ederson M.,G,4.6,0.0,0.0,0.0,0.0,0.0,3.22,0.0,0.0,4.43,0.0,0.0,0.0,0.0,0.0,3.37,0.0,0.0,0.0,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23,2.71,0.0,0.0,0.0,0.0,0.0,20.6,4.48
111234,EVE,Pickford,G,3.7,0.0,0.0,3.91,0.0,0.0,0.0,0.0,0.0,2.74,0.0,0.0,0.0,0.0,3.76,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.0,3.49,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,20.57,5.56
156689,FUL,Andreas,M,3.0,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.0,0.0,0.0,0.0,3.44,0.0,0.0,0.0,0.0,3.74,0.0,0.0,0.0,0.0,0.0,3.46,0.0,0.0,0.0,0.0,3.04,0.0,0.0,0.0,0.0,20.56,6.85
153133,FUL,Iwobi,M,3.5,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.0,0.0,0.0,0.0,3.38,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,3.31,0.0,0.0,0.0,0.0,3.03,0.0,0.0,0.0,0.0,20.37,5.82
